Provide the location of messagelog to calculate delays from
Provide the location of sent_messagelog|0|0|0|0|0
113|202631|201|2|3|1
113|452664|451|2|3|1
114|2534|1|1|2|1
114|72579|71|1|2|1
114|202636|201|1|2|1
114|452676|452|1|2|1
115|2510|1|2|3|1
115|72558|71|2|3|1
115|202601|201|2|3|1
115|452653|451|2|3|1
116|2598|1|2|3|1
116|72642|71|2|3|1
116|202698|201|2|3|1
116|383941|382|2|3|1
117|-66335|-67|1|3|2
117|3710|3|1|3|2
117|138198|137|1|3|2
117|409095|408|1|3|2
118|-27478|-29|2|3|1
118|48397|47|2|3|1
118|189280|188|2|3|1
118|452627|451|2|3|1
119|2511|1|2|2|0
119|72550|71|2|2|0
119|202602|201|2|2|0
119|452642|451|2|2|0
120|4830|1|4|5|1
120|74873|71|4|5|1
120|204928|201|4|5|1
120|454964|451|4|5|1
121|2431|1|1|2|1
121|72474|71|1|2|1
121|202525|201|1|2|1
121|452565|451|1|2|1
122|2451|1|2|3|1
122|72483|71|2|3|1
122|202529|201|2|3|1
122|452582|451|2|3|1
123|2598|2|1|3|2
123|72692|72|1|3|2
123|202741|202|1|3|2
123|452787|452|1|3|2
124|3980|2|2|4|2
124|74023|72|2|4|2
124|204083|202|2|4|2
124|454128|452|2|4|2
125|3670|2|1|3|2
125|73716|72|1|3|2
125|203771|202|1|3|2
125|453804|452|1|3|2
126|2535|1|1|2|1
126|72579|71|1|2|1
126|202630|201|1|2|1
126|452679|451|1|2|1
127|2503|1|2|3|1
127|72546|71|2|3|1
127|202589|201|2|3|1
127|452646|451|2|3|1
128|3455|2|2|3|1
128|73508|72|2|3|1
128|203558|202|2|3|1
128|453592|452|2|3|1
129|2532|1|2|3|1
129|74449|73|2|3|1
129|204494|203|2|3|1
129|454546|453|2|3|1
130|2490|1|2|3|1
130|72520|71|2|3|1
130|202568|201|2|3|1
130|452619|451|2|3|1
131|2458|0|2|2|0
131|72511|71|2|2|0
131|202555|201|2|2|0
131|452619|451|2|2|0
132|2501|1|2|3|1
132|72541|71|2|3|1
132|202594|201|2|3|1
132|452637|451|2|3|1
133|2812|1|2|3|1
133|72862|71|2|3|1
133|202914|201|2|3|1
133|452951|451|2|3|1
134|2545|1|1|2|1
134|72593|71|1|2|1
134|202637|201|1|2|1
134|452687|451|1|2|1
135|2498|1|2|3|1
135|72550|71|2|3|1
135|202590|201|2|3|1
135|452642|451|2|3|1
136|2524|1|2|3|1
136|72590|71|2|3|1
136|202617|201|2|3|1
136|452669|451|2|3|1
137|2517|1|2|2|0
137|72554|71|2|2|0
137|202607|201|2|2|0
137|452653|451|2|2|0
138|3006|1|2|3|1
138|73059|71|2|3|1
138|203119|201|2|3|1
